Taxon,Growth_form,lifeform,gross_anatomy,diagnostic_traits,,,
Apiaceae,herbs,"Perennial, annual",,"compound umbels, dissected leaves, schizocarp fruits",,,
Lomatium,herbs,perennial,,,,,
Lomatium dissectum,herb,perennial,Plants large and bush like; flowering stems often > half meter tall; flowers often burgundy,,,,
Lomatium nudicaule,herb,perennial,Upper stem generally swollen beneath the first umbel,"Yellow flowers; 2nd umbels unequal distances from each other due to variable length of rays;  individual leaflets few, virtually always greater than 5mm wide",,,
Lomatium triternatum,herb,perennial,Slender with long elegant leaflets,"Yellow flowers; 2nd umbels unequal distances from each other due to variable length of rays;  individual leaflets few, many times longer than wide",,,
Asclepiadoideae,herbs,,,,,,
Asclepias,"herbs, rhizomatous",perennial,,"umbel, white sap, corolla with a tube and appendage (hood and horn), fused anther filaments, pollen shed in pollinia",,,
Asclepias fascicularis,herb,perennial,,,,,
Asclepias speciosa,herb,perennial,,,,,
Asclepias,,,,,,,
Asteraceae,"herbs, shrubs, trees","perennial, annual",,"many flowers compose a single head (capitulum), stigma with ‘lines’, fruit a cypselae, cypselae often dispersed with modified calyx (pappus) intact, often two types of flowers (ray, disk).",,,
Cichorideae,herbs,,,"Only ray flowers present (capitula ligulate), generally milky sap, petal like zygomorphic limb of ray corolla with 5 lobes. Ray flowers many colours.",,,
Agoseris glauca,herb from basal rosette,,,,,,
Agoseris grandiflora,herb from basal rosette,,,,,,
Nothocalais troximoides,herb from basal rosette,,,,,,
Crepis acuminata,,perennial,"involucral bracts glabrous or nearly so; phyllaries few (5-8), and with few (5-12) ray flowers","involucral bracts glabrous or nearly so; phyllaries few (5-8), and with few (5-12) ray flowers", ,,
Crepis occidentalis,,perennial,persistent old leaf bases (~marcescent)  on caudices, foliage gray-tomentose (esp. above), , cypselae golden to dark brown,
Heliantheae,herbs,"Perennial, annual",,"capitula generally beset with bristles (palea) from the base (receptacle) which often enclose the disk flowers, cypselae with generally low scalelike pappus, anthers often dark, ray flowers generally yellow.", ,,
Balsamorhiza hookeri,herb from basal rosette,perennial,Leaves deeply divided to the midrib from a basal rosette, capitula on several scapose stems, ,,
Balsamorhiza sagittata,,perennial,Large clumped plants with huge nearly upright arrow shaped leaves from an underground caudex, few cauline leaves present, ,,
Heliomeris multiflora,,perennial,wiry herbs with opposite leaves, ,,,
Astereae,herbs,"perennial, annual",,"Heads (generally) with both ray and disk flowers (radiate),  phyllaries in 3-many series, ray flowers many colours", ,,
Dieteria canescens,,,,,,,
Erigeron ,herbs,"perennial, annual",phyllaries in one whorl;  generally many very narrow (<~1.5mm) ray limbs,,,,
Erigeron bloomeri,tightly bunched herb with scapose stems,perennial,entire narrowly oblanceolate leaves nearly vertical;  appearing to lack ray flowers; single capitulum per stem; phyllaries hairy,,, phyllaries hairy,
Erigeron linearis,tightly bunched herb with stems terminated by single capitulum,perennial,entire linear leaves nearly vertical, yellow ray flowers, lower cauline leaves clasping the stem, ,
Erigeron pumilus,tightly bunched herb with leafy stems,perennial,"Many stemmed plants, with dense stiff hairs all over; the  narrow slightly oblanceolate leaves reduced in size along the stems. Each flower head with many white - light pink-blue narrow ray flower limbs. ", ,,,
Erigeron speciosus,tall loosely bunched herb with leafy stems,perennial,stems well branched with several to many capitula, leaves essentially glabrous throughout and three nerved, ray limbs white to violet,,
Chaenactis douglasii,single stemmed herb from basal rosette,biennial,"basal rosette of grayish, multi-lobed, lacy leaves; disc flowers only;  flowers pinkish to white; 1-2 ft tall", ,,,
Hydrophyllaceae,herbs,"annuals, perennials",,,,,
Phacelia,herbs,"annuals, perennials",,,,,
Phacelia hastata,herb,perennial,"The leaves are mostly basal, prominently veined, entire and tufted, with cauline leaves reduced upward, becoming sesslie",,,,
Capparaceae,,,,,,,
Pertitoma,,"annuals, perennials",,,,,
Peritoma lutea,herbs,annual,Palmate leaves with 3-5 leaflets; very long stamens; pods long siliques subtended by both pedicels and long stipitate stalks,"Stems virtually glabrous; silique nearly linear, glabrous, and deflexed; stamens > 2x as long as petals (5-10  mm); petals lemon-yellow; sepals 2-3 mm",,,
Fabaceae,"herbs, shrubs, trees","perennial, annual",,"corolla (almost always) of three types of petals (banners, flags, keel); usually 9 stamen with filaments fused at base; fruit a dry dehiscent capsule (legume) leaves generally pinnate.",,,
Astragalus,herbs,"perennial, annual",,,,,
Astragalus eremiticus,herb,perennial,incurved to erect stipitate fruits, calyx with black hairs ,,,
Astragalus filipes,"many densely, erect, stemmed herb",perennial,"the few sparse leaflets very narrow; slender, single chambered,  legumes on long stipes; flowers creamy white with banner reflexed ~90*",,,,
Dalea,herbs,"perennial, annual",,"Herbage generally with sunken flat glands and smelling when bruised; flowers not forming distinct keels, banners, and wings;  Petals with narrow bases and wide upper portions; leaves pinnate; stipules small; androecium often reduced to 5.",,,
Dalea ornata,herb,perennial,"foliage glabrous up to inflorescence, subglaucescent;  corollas purplish; flowers remaining densely packed in age",,,,
Dalea searlsiae,herb,perennial,"foliage slightly pilose to glabrous up to infloresence,  often glaucescent; corollas purplish; distance between flowers increasing in age",,,,
Malvaceae,herbs,"perennial, annual",,Stamens fused (connate)- forming a tube which is attached (adnate) to the base of the petals (corolla) and surrounds the lower portions of the gynoecium, the gynoecium contains many stigmas, a dry dehiscent fruit resembling a wheel of cheese,
Sphaeralcea,herbs,"perennial, annual",,,,,
Sphaeralcea ambigua,herb,perennial,"Leaves somewhat triangular, weakly 3 (-5)-lobed and 3 (-5)-veined, with wavy margins and rounded teeth",leaves lobed < 1/4 to base; calyx 9-16 mm long; petals 13-23 mm long; schizocarp 6-9 mm diameter; leaves green,,,
Sphaeralcea coccinea,herb,perennial,Leaves deeply divided into five apparent leaflets; ,"leaves lobed > ½ to the base, having or appearing to have 5 leaflets; infloresence with 1 flower per nearly all nodes; leaflets not linear",,,
Sphaeralcea grossulariifolia,herb,perennial,"Leaves are divided over halfway to the midrib and moderately to sparsely pubescent, veins prominent from underside; infloresence with 2 or more flowers per node","leaves lobed > ½ to the base; petals 11-22 mm long; leaf blades 1.5 – 5 cm, and midlobe 10-20 mm wide",,,
Sphaeralcea munroana,herb,perennial,"Leaves somewhat triangular, weakly 3 (-5)-lobed and 3 (-5)-veined, with wavy margins and rounded teeth",leaves lobed < 1/4 to base; calyx 4.5-9 mm long; petals 8-18 mm long; schizocarp 4-7 mm diameter; leaves green,,,
Poaceae,,,,,,,
