Species,Authority
Achnatherum hymenoides,(Roem. & Schult.) Barkworth
Achnatherum lemmonii,(Vasey) Barkworth
Achnatherum lettermanii,(Vasey) Barkworth
Achnatherum nevadense,(B.L. Johnson) Barkworth
Achnatherum occidentale,(Thurb ex S.Watson) Barkworth
Achnatherum speciosum,(Trin. & Rupr.) Barkworth
Achnatherum thurberianum,(Piper) Barkworth
Achnatherum webberi,(Thurb.) Barkworth
Agoseris glauca,(Pursh) Raf.
Agoseris grandiflora,(Nutt.) Greene
Artemisia tridentata,Nutt.
Asclepias fascicularis,Decne.
Asclepias speciosa,Torr.
Astragalus eremiticus,E. Sheld
Astragalus filipes,Torr. ex A. Gray
Balsamorhiza hookeri,Nutt.
Balsamorhiza sagittata,(Pursh) Nutt.
Chaenactis douglasii,Hook. & Arn.
Crepis acuminata,Nutt.
Crepis occidentalis,Nutt.
Dalea ornata,(Douglas ex Hook.) Eaton & Wright
Dalea searlsiae,(A. Gray) Barneby
Dieteria canescens,(Pursh) Nutt.
Elymus elymoides,(Raf.) Swezey
Erigeron bloomeri,A. Gray
Erigeron linearis,(Hook.) Piper
Erigeron pumilus,Nutt.
Erigeron speciosus,(Lindl.) DC.
Eriogonum heracleoides,Nutt.
Eriogonum ovalifolium,Nutt.
Eriogonum umbellatum,Torr.
Festuca idahoensis,Elmer
Heliomeris multiflora,Nutt.
Hesperostipa comata,(Trin & Rupr.) Barkworth
Koeleria macrantha,(Ledeb.) Schult.
Leymus cinereus,(Scribn & Merr.) A. Love
Lomatium dissectum,(Nutt.) Mathias & Constance
Lomatium nudicaule,(Nutt.) J.M. Coult & Rose
Lomatium triternatum,(Pursh) J.M. Coult. & Rose
Nothocalais troximoides,(A. Gray) Greene
Penstemon acuminatus,Douglas ex Lindl.
Penstemon deustus,Douglas
Penstemon eatonii,A. Gray
Penstemon pachyphyllus,A. Gray ex Rydb.
Penstemon palmeri,A. Gray
Penstemon speciosus,Douglas
Peritoma lutea,(Hook.) Raf.
Phacelia hastata,Douglas ex Lehm.
Hilaria jamesii,(Torr.) Benth.
Poa secunda,J. Presl
Pseudoroegneria spicata,(Pursh) A. Love
Sphaeralcea ambigua,A. Gray
Sphaeralcea coccinea,(Nutt.) Rydb.
Sphaeralcea grossulariifolia,(Hook. & Arn.) Rydb.
Sphaeralcea munroana,(Douglas ex Lindl.) Spach
Sporobolus cryptandrus,(Torr.) A. Gray
Amelanchier alnifolia,(Nutt.) Nutt. ex. M. Roem.
Amelanchier utahensis,Koehne
Atriplex canescens,(Pursh) Nutt.
Atriplex confertifolia,(Torr. & Frem.) S. Watson
Atriplex torreyi,(S. Watson) S. Watson
Bouteloua gracilis,(Kunth) Lag. Ex Griffiths
Ceanothus velutinus,Douglas ex Hook.
Cercocarpus ledifolius,Nutt.
Chrysothamnus greenei,(A. Gray) Greene
Chrysothamnus viscidiflorus,(Hook.) Nutt.
Ephedra nevadensis,S. Watson
Ephedra viridis,Coville
Ericameria nauseosa,(Pall. Ex Pursh) G.L. Nesom & G.I. Baird
Eriogonum microthecum,Nutt.
Eriogonum nudum,Douglas ex Benth.
Forestiera pubescens,Nutt.
Grayia spinosa,(Hook.) Moq.
Grindellia squarrosa,(Pursh) Dunal
Gutierrezia sarothrae,(Pursh) Britton & Rusby
Holodiscus discolor,(Pursh) Maxim.
Juniperus osteosperma,(Torr.) Little
Krascheninnikovia lanata,(Pursh) A. Meeuse & A. Smit
Lupinus argenteus,Pursh
Oenothera elata,Kunth
Paxistima myrsinites ,(Pursh) Raf.
Pinus monophylla,Torr. & Frem.
Psorothamnus fremontii,(Torr. Ex A. Gray) Barneby
Purshia stansburiana,(Torr.) Henrard
Purshia tridentata,(Pursh) DC.
Ribes cereum,Douglas
Rosa woodsii,A. Gray
Sambucus mexicana,C. Presl ex DC.
Sambucus racemosa,L.
Shepherdia argentea,(Pursh) Nutt.
Symphoricarpos albus,(L.) S.F. Blake
Symphoricarpos oreophilus,A. Gray
Tetradymia canescens,DC.
