Species,syn_name,syn_author,New_Accepted
Achnatherum hymenoides,Oryzopsis hymenoides,(Roem. & Schult.) Ricker,Old
Achnatherum hymenoides,Stipa hymenoides,Roem. & Schult.,Old
Achnatherum hymenoides,Eriocoma hymenoides,(Roem. & Schult.) Rydb.,New
Achnatherum lemmonii,Stipa lemmonii,(Vasey) Scribn.,Old
Achnatherum lemmonii,Stipa columbiana,Macoun,Old
Achnatherum lemmonii,Eriocoma lemmonii,(Vasey) Romasch.,New
Achnatherum lettermanii,Stipa lettermannii,Vasey,Old
Achnatherum lettermanii,Eriocoma lettermanii,(Vasey) Romasch.,New
Achnatherum nevadense,Stipa nevadensis,B.L. Johnson,Old
Achnatherum nevadense,Eriocoma nevadensis,(B.L. Johnson ) Romasch.,New
Achnatherum occidentale,Stipa occidentalis,Thurb. ex S. Watson,Old
Achnatherum occidentale,Eriocoma occidentalis,(Thurb. ex S. Watson) Romasch.,New
Achnatherum speciosum,Stipa speciosa,Trin. & Rupr.,Old
Achnatherum speciosum,Pappostipa speciosa,(Trin. & Rupr.) Romasch,New
Achnatherum thurberianum,Stipa thurberiana,Piper,Old
Achnatherum thurberianum,Eriocoma thurberiana,(Piper) Romasch.,New
Achnatherum webberi,Stipa webberi,(Thurb.) B.L. Johnson,Old
Achnatherum webberi,Oryzopsis webberi,(Thurb.) Benth. ex Vasey,Old
Achnatherum webberi,Eriocoma webberi,Thurb.,New
Agoseris glauca,NA,NA,NA
Agoseris grandiflora,NA,NA,NA
Artemisia tridentata,NA,NA,NA
Asclepias fascicularis,NA,NA,NA
Asclepias speciosa,NA,NA,NA
Astragalus eremiticus,NA,NA,NA
Astragalus filipes,NA,NA,NA
Balsamorhiza hookeri,NA,NA,NA
Balsamorhiza sagittata,NA,NA,NA
Chaenactis douglasii,NA,NA,NA
Crepis acuminata,NA,NA,NA
Crepis occidentalis,NA,NA,NA
Dalea ornata,NA,NA,NA
Dalea searlsiae,NA,NA,NA
Dieteria canescens,Machaeranthera canescens,(Pursh) A. Gray,Old
Elymus elymoides,Sitanion hystrix,(Nutt.) J.G. Sm.,Old
Elymus elymoides,Elymus sitanion,Schult.,Old
Erigeron bloomeri,NA,NA,NA
Erigeron linearis,NA,NA,NA
Erigeron pumilus,NA,NA,NA
Erigeron speciosus,NA,NA,NA
Eriogonum heracleoides,NA,NA,NA
Eriogonum ovalifolium,NA,NA,NA
Eriogonum umbellatum,NA,NA,NA
Festuca idahoensis,Festuca ovina,L.,Old
Heliomeris multiflora,Viguieria multiflora,(Nutt) S.F. Blake,Old
Hesperostipa comata,Stipa comata,Trin. & Rupr.,Old
Hilaria jamesii,Pleuraphis jamesii,Torr.,Old
Koeleria macrantha,Koeleria nitida,Nutt.,Old
Koeleria macrantha,Koeleria gracilis,Pers.,Old
Koeleria macrantha,Koeleria nitida,Domin,Old
Leymus cinereus,Elymus cinereus,Scribn. & Merr.,Old
Lomatium dissectum,NA,NA,NA
Lomatium nudicaule,NA,NA,NA
Lomatium triternatum,NA,NA,NA
Nothocalais troximoides,Microseris troximoides,A. Gray,Old
Penstemon acuminatus,NA,NA,NA
Penstemon deustus,NA,NA,NA
Penstemon eatonii,NA,NA,NA
Penstemon pachyphyllus,NA,NA,NA
Penstemon palmeri,NA,NA,NA
Penstemon speciosus,NA,NA,NA
Peritoma lutea,Cleome lutea,Hook.,Old
Phacelia hastata,NA,NA,NA
Poa secunda,Poa sandbergii,Vasey,Old
Pseudoroegneria spicata,Agropyron spicatum,(Pursh) Scribn. & J.G. Sm.,Old
Pseudoroegneria spicata,Elymus spicatus,(Pursh) Gould,Old
Sphaeralcea ambigua,NA,NA,NA
Sphaeralcea coccinea,NA,NA,NA
Sphaeralcea grossulariifolia,NA,NA,NA
Sphaeralcea munroana,NA,NA,NA
Sporobolus cryptandrus,NA,NA,NA
