Species,common name,USDA Code,Family
Achnatherum lettermanii,Letterman's needlegrass,ACLE9,Poaceae
Achnatherum nevadense,Nevada needlegrass,ACNE10,Poaceae
Achnatherum occidentale,western needlegrass,ACOC3,Poaceae
Achnatherum thurberianum,Thurber’s needlegrass,ACTH7,Poaceae
Achnatherum webberi,Webber needlegrass,ACWE3,Poaceae
Agoseris glauca,pale agoseris,AGGL,Asteraceae
Asclepias speciosa,showy milkweed,ASSP,Asclepiadaceae
Balsamorhiza sagittata,arrowleaf balsamroot,BASA3,Asteraceae
Chaenactis douglasii,Douglas’ dustymaidens,CHDO,Asteraceae
Crepis acuminata,tapertip hawksbeard,CRAC2,Asteraceae
Dieteria canescens,hoary tansyaster,MACA2,Asteraceae
Elymus elymoides,squirreltail,ELEL5,Poaceae
Achnatherum hymenoides,indian ricegrass ,ACHY,Poaceae
Eriogonum ovalifolium,cushion buckwheat,EROV,Polygonaceae
Eriogonum umbellatum,sulphur-flower buckwheat,ERUM,Polygonaceae
Hesperostipa comata,needle and thread grass,HECO26,Poaceae
Lomatium dissectum,fernleaf biscuitroot,LODI,Apiaceae
Lomatium nudicaule,barestem biscuitroot,LONU2,Apiaceae
Phacelia hastata,silverleaf phacelia,PHHA,Boraginaceae
Poa secunda,Sandberg’s bluegrass,POSE,Poaceae
Pseudoroegneria spicata,bluebunch wheatgrass,PSSP6,Poaceae
Sphaeralcea grossulariifolia,gooseberryleaf globemallow,SPGR2,Malvaceae
Sphaeralcea munroana,Munro's globemallow,SPMU2,Malvaceae
Astragalus filipes,basalt milkvetch,ASFI,Fabaceae
Erigeron bloomeri,scabland fleabane,ERBL,Asteraceae
Penstemon deustus,scabland penstemon,PEDE4,Scrophulariaceae
Penstemon speciosus,royal penstemon,PESP,Scrophulariaceae
Balsamorhiza hookeri,Hooker's balsamroot,BAHO,Asteraceae
Crepis occidentalis,largeflower hawksbeard,CROC,Asteraceae
Erigeron speciosus,aspen fleabane,ERSP4,Asteraceae
Eriogonum heracleoides,parsnipflower buckwheat,ERHE2,Polygonaceae
Achnatherum lemmonii,Lemmon's needlegrass,ACLE8,Poaceae
Artemisia tridentata,big sagebrush,ARTR,Asteraceae
Astragalus eremiticus,hermit milkvetch,ASER4,Fabaceae
Dalea ornata,blue mountain prairie clover,DAOR2,Fabaceae
Erigeron linearis,desert yellow fleabane,ERLI,Asteraceae
Erigeron pumilus,shaggy fleabane,ERPU2,Asteraceae
Festuca idahoensis,Idaho fescue,FEID,Poaceae
Koeleria macrantha,junegrass,KOMA,Poaceae
Lomatium triternatum,nineleaf biscuitroot,LOTR2,Apiaceae
Nothocalais troximoides,sagebrush false dandelion,NOTR2,Asteraceae
Penstemon acuminatus,sharpleaf penstemon,PEAC,Scrophulariaceae
Achnatherum speciosum,desert needlegrass,ACSP12,Poaceae
Dalea searlsiae,Searls' prairie clover,DASE3,Fabaceae
Heliomeris multiflora,showy goldeneye,HEMU3,Asteraceae
